"date","adjustments","adjustments_lab","indORchange","indORchange_lab","nomORreal","nomORreal_lab","var","var_lab","value"
2000-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","81.5"
2000-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","84.9"
2000-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","81.4"
2000-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","86.5"
2000-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","84"
2000-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.7"
2000-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85"
2000-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.1"
2000-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","92.6"
2000-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.2"
2000-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","79.4"
2000-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.8"
2000-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","83.5"
2000-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.1"
2000-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","81.3"
2000-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.1"
2000-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.5"
2000-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88"
2000-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.6"
2000-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.4"
2000-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.6"
2000-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.1"
2000-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","110.1"
2000-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.1"
2001-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.4"
2001-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.8"
2001-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","80.1"
2001-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.6"
2001-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.1"
2001-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.4"
2001-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","84.2"
2001-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.1"
2001-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","93.1"
2001-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89"
2001-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.3"
2001-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.8"
2001-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","84.9"
2001-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.1"
2001-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","83.5"
2001-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.2"
2001-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.4"
2001-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.9"
2001-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.6"
2001-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.7"
2001-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","98.4"
2001-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.8"
2001-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","110.5"
2001-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.8"
2002-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.4"
2002-01-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.5"
2002-02-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","81.4"
2002-02-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.1"
2002-03-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88"
2002-03-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","90.1"
2002-04-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.9"
2002-04-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.2"
2002-05-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.9"
2002-05-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.9"
2002-06-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","82.2"
2002-06-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","86.9"
2002-07-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.9"
2002-07-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.2"
2002-08-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","83.3"
2002-08-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.4"
2002-09-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","85.2"
2002-09-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.8"
2002-10-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","91.2"
2002-10-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.7"
2002-11-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","96.1"
2002-11-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","88.6"
2002-12-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","107.2"
2002-12-15,"sa","Seasonally adjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","89.1"
2003-01-15,"brut","Unadjusted","ind","Indices","n","Nominal","noga08_01","47: Total retail sector","87.4"
